date,title,short_opening,url,label,sentiment,outlet,shortopening,is_personal
2025-08-31,Zelenskyy announces arrest in shooting death of pro-Western Ukrainian politician Andriy Parubiy,Ukraine arrests a suspect in the killing of former parliament speaker Parubiy.,https://apnews.com/article/ukraine-parubiy-killed-lviv-3f322375d0a7c694bd0909018ceb0382,Domestic Governance,neutral,zelensky_ap_filtered,,
2025-07-23,Zelenskyy faces backlash as Ukrainians protest new anti-corruption law,Ukrainians protest a new law they say weakens anti-corruption institutions.,https://apnews.com/article/russia-ukraine-war-corruption-protests-zelenskyy-talks-fb2fdeb3fbf36a37b2e1eefb385bac87,Domestic Governance,negative,zelensky_ap_filtered,,
2025-07-17,Zelenskyy appoints a new prime minister for a war-weary Ukraine,Zelenskyy appoints negotiator Yuliia Svyrydenko as new prime minister.,https://apnews.com/article/russia-ukraine-war-government-reshuffle-zelenskyy-svyrydenko-c64ec1fd2475ad85c6a54a50c63076eb,Domestic Governance,neutral,zelensky_ap_filtered,,
2025-07-24,"Zelenskyy moves to restore independence of Ukraine anti-graft agencies after protests, EU criticism",Zelenskyy introduces a bill to restore anti-corruption agency independence.,https://apnews.com/article/russia-ukraine-war-corruption-protests-zelenskyy-law-6766134c963f0423d88c2ac1749f8c11,Domestic Governance,positive,zelensky_ap_filtered,,
2025-07-24,Zelenskyy moves to restore anti-corruption agencies_ independence after public outcry,Zelenskyy submitted a bill restoring watchdog independence after mass protests.,https://apnews.com/video/zelenskyy-moves-to-restore-anti-corruption-agencies-independence-after-public-outcry-935b1f1159544b7586a7cc397c80cdd4,Domestic Governance,neutral,zelensky_ap_filtered,,
2025-11-18,Zelenskyy moves to 'clean up' Ukraine's energy sector as corruption scandal rocks leadership,Ukrainian President Volodymyr Zelenskyy announced major energy sector cleanup Sunday as corruption scandal rocks the nation's nuclear industry.,https://www.foxnews.com/politics/zelenskyy-moves-clean-up-ukraines-energy-sector-corruption-scandal-rocks-leadership,Domestic Governance,negative,zelensky_foxnews_filtered,,
2025-02-18,"Zelenskyy faces perilous re-election odds as US, Russia push Ukraine to go to the polls",U.S. and Russia push Ukraine to hold elections as Zelenskyy's term is past expiration.,https://www.foxnews.com/politics/zelenskyy-faces-perilous-reelection-odds-us-russia-push-ukraine-go-polls-part-peace-deal,Domestic Governance,negative,zelensky_foxnews_filtered,,
2025-09-25,"Zelenskyy 'ready' to exit office if war ends, open to elections in ceasefire",Zelenskyy says peace is priority over second term.,https://www.foxnews.com/world/zelensky-ready-leave-office-when-ukraine-war-ends,Domestic Governance,neutral,zelensky_foxnews_filtered,,
2025-07-17,Ukraine's Zelenskyy names new prime minister,Zelenskyy appoints new PM amid ongoing war.,https://www.foxnews.com/world/ukraines-zelenskyy-names-new-prime-minister-first-time-since-russias-war-began,Domestic Governance,neutral,zelensky_foxnews_filtered,,
2025-02-24,"Zelenskyy names his terms for giving up power as US, Ukraine lock in on mineral deal",Zelenskyy demands guarantees as Washington pressures him.,https://www.foxnews.com/politics/zelenskyy-names-his-terms-giving-up-power-us-ukraine-lock-mineral-deal-nato,Domestic Governance,neutral,zelensky_foxnews_filtered,,
