date,title,shortopening,url,is_personal
2025/9/24,How Zelensky__ Charm Offensive Reversed Trump__ Skepticism on Ukraine,The change in tone by the U.S. president reflects how the Ukrainian leader has learned from his acrimonious meeting in February.,https://www.wsj.com/world/how-zelenskys-charm-offensive-reversed-trumps-skepticism-on-ukraine-3818cab4,TRUE
2022/2/25,Ukraine__ Leader Zelensky Is __arget Number One_ for Putin,"Russia__ invasion of Ukraine aims to overthrow the leadership in Kyiv, but President Volodymyr Zelensky remains defiant.",https://www.wsj.com/world/europe/once-a-comic-ukrainian-president-transforms-into-wartime-leader-11645794378,TRUE
2025/3/10,Zelensky__ High-Wire Act: Satisfying Ukrainians__nd Trump,"President Trump wants a quick peace deal, but Ukrainians resist capitulation to Russia__ demands.",https://www.wsj.com/world/zelenskys-high-wire-act-satisfying-ukrainiansand-trump-7208e461,TRUE
2023/2/22,Ukraine__ Zelensky Is Challenged by Return of Domestic Political Troubles,"Ukraine__ president faces government corruption allegations, political competition and questions about Western aid.",https://www.wsj.com/articles/zelensky-ukraine-president-corruption-allegations-a874bff0,TRUE
2024/2/12,Zelensky__ Military Shake-Up Ties Him to Battlefield Performance,The decision to replace Ukraine__ popular top general comes as the army is struggling to hold back Russian forces.,https://www.wsj.com/world/zelenskys-military-shake-up-ties-him-to-battlefield-performance-8c94399d,TRUE
2024/2/5,"Ukraine__ Zelensky, Facing Rising Challenges, Touts Leadership Overhaul",The Ukrainian president is considering a leadership shuffle aimed at reinvigorating efforts to combat Russia__ invasion.,https://www.wsj.com/world/europe/ukraines-zelensky-facing-rising-challenges-touts-leadership-overhaul-db96ab08,TRUE
2025/5/3,Face-to-Face at the Vatican: How Trump and Zelensky Made Up,"The Ukrainian president__ showmanship helped rally the world against the Russian invasion, but it has grated on President Trump.",https://www.wsj.com/world/europe/face-to-face-at-the-vatican-how-trump-and-zelensky-made-up-344cb932,TRUE
2023/9/24,Zelensky__ Blunt Talk Wins Support but Also Irks Friends,"Ukraine__ president, a novice politician, has defied expectations with his diplomatic savvy, though he has repeatedly overstepped.",https://www.wsj.com/world/europe/zelenskys-blunt-talk-wins-support-but-also-irks-friends-1c8c2553,TRUE
2022/5/12,Who Is Volodymyr Zelensky? What to Know About Ukraine__ President,The former actor and comedian now leads his country__ resistance to Russia__ invasion.,https://www.wsj.com/world/europe/who-is-volodymyr-zelensky-ukrainian-president-11646161781,TRUE
2024/6/26,Zelensky__ Formidable Task: Keeping the West and His Citizens On Board,The Ukrainian president has maintained support at home and in Europe despite a shortage of troops and tensions with the U.S.,https://www.wsj.com/world/europe/zelenskys-formidable-task-keeping-the-west-and-his-citizens-on-board-694df7dd,TRUE
